Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,589.4,325.4,301.4,53.5,25.5,119,21.5,4.7,3,376.4,517.8
Operating Expenses Qtr Cr,371.7,219.4,164.7,31.8,51.3,104.2,25.3,-40.2,-33.1,261.5,344
Operating Profit Qtr Cr,210.5,98.3,131.8,15.7,-29,-13.7,-10.4,40.6,33.4,110,168.9
Operating Profit Margin Qtr %,36.16%,30.94%,44.45%,33.07%,-129.90%,-15.18%,-70.23%,11266.67%,13356.00%,29.61%,32.94%
Depreciation Qtr Cr,75.4,73.5,73.8,73.6,72.9,70.1,70.9,71.4,70.8,74,64.8
Interest Qtr Cr,65.8,64.3,64.5,64.8,64.5,61.7,62,64.1,63.3,61.4,54.7
Profit Before Tax Qtr Cr,76.5,-31.8,-1.6,-116.7,-163.1,-121,-136.8,-90.6,-97.9,-20.6,54.2
Tax Qtr Cr,19.3,-3.7,-0.3,-29.1,-40.9,-27.4,-34.3,-22.8,-24.3,61.5,19.2
Net Profit Qtr Cr,57.1,-28.2,-1.3,-87.6,-122.2,-93.7,-102.5,-67.8,-73.7,-82.2,35
Basic EPS Qtr Rs,4.7,-2.3,-0.1,-7.1,-10.7,-8.4,-9.6,-6.7,-7.5,-8.4,3.6
