Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,13018.7,8207.2,9479.9,5798.4,3170.1,6362.1,5142.6,3028.8,1143.5,8634.9,10330.3
Operating Expenses Qtr Cr,12257.9,7985,7516.8,5422.1,4476.8,5673.5,4071.2,2534.6,2386.8,8434.3,8261.8
Operating Profit Qtr Cr,597.4,35.7,1778,186.4,-1469.8,549.5,838.8,206.3,-1620,-135.3,1669.9
Operating Profit Margin Qtr %,4.65%,0.45%,19.13%,3.32%,-48.88%,8.83%,17.08%,7.53%,-211.29%,-1.63%,16.81%
Depreciation Qtr Cr,1169.6,1269.3,1233.6,1247.9,1317.1,1319.5,1156.5,1126.4,1096.4,1006.3,1037.7
Interest Qtr Cr,656.6,632.6,601.1,568.8,555.5,528.2,541.5,562.5,509.7,487.7,480.5
Profit Before Tax Qtr Cr,-1065.4,-1679.8,128.4,-1440.4,-3179.3,-1159,-626.6,-1194.8,-2849.4,-1293.4,550.4
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,-420,59.9
Net Profit Qtr Cr,-1065.4,-1679.8,128.4,-1440.4,-3179.3,-1159,-626.6,-1194.8,-2849.4,-873.5,490.4
Basic EPS Qtr Rs,-27.7,-43.6,3.3,-37.4,-82.6,-30.1,-16.3,-31.1,-74,-22.7,12.8
