Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,114.8,102.5,156.4,200.1,159.8,133,78.6,131.5,31.3,90.7,102.2
Operating Expenses Qtr Cr,49.9,26.7,57.1,41.9,60.5,34.4,32.3,50.7,16.2,18.9,51.5
Operating Profit Qtr Cr,62.1,70.9,96.9,106.3,101,90.9,41.9,61.3,13.7,70,47.4
Operating Profit Margin Qtr %,54.86%,72.63%,62.77%,70.90%,63.72%,71.87%,54.27%,54.44%,45.80%,78.72%,48.00%
Depreciation Qtr Cr,2.5,2.4,2.5,2.9,2.9,3,3,3,3,3,3
Interest Qtr Cr,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9
Profit Before Tax Qtr Cr,59.5,71.7,94.8,151.8,97.6,92.6,38.6,75.4,10.3,66.8,45.9
Tax Qtr Cr,12.9,18,23.1,24.5,22.6,23.9,10,7.7,0,11.1,13.6
Net Profit Qtr Cr,46.6,53.6,71.7,127.3,75.1,68.7,28.6,67.8,10.3,55.7,32.3
Basic EPS Qtr Rs,0.5,0.6,0.8,1.3,0.8,0.7,0.3,0.8,0.1,0.7,0.4
