Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,366.2,373.3,316,302.3,266.7,243.2,208.7,193.3,178.1,232.8,239.2
Operating Expenses Qtr Cr,245.9,255.8,234.7,216.5,182.2,173.3,156.8,141.7,136.2,174.4,172.3
Operating Profit Qtr Cr,108.9,76.1,70.5,74,71.1,63.9,41.5,49,41.9,43.4,57
Operating Profit Margin Qtr %,30.69%,22.92%,23.11%,25.47%,28.08%,26.95%,20.91%,25.69%,23.52%,19.94%,24.85%
Depreciation Qtr Cr,21.2,20.8,21.1,20.1,19.6,21,22.8,23.9,22.8,21.8,21.8
Interest Qtr Cr,4,5.4,2.1,1.7,1.6,1.8,1.6,2.1,3.1,4,2.9
Profit Before Tax Qtr Cr,95.1,91.3,58.2,64,63.2,47.1,27.5,28.8,16,28.9,42.2
Tax Qtr Cr,21.4,5,11,11.6,10.8,5.6,2.6,1.9,1.4,2.1,7.9
Net Profit Qtr Cr,73.7,86.2,47.1,52.4,52.3,41.5,24.9,26.9,14.6,26.8,34.4
Basic EPS Qtr Rs,2.7,3.2,1.8,1.9,1.9,1.5,0.9,1,0.5,1,1.3
