Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1604,2029,1875,1639,1600,2351,2012,1919,1468,2310,1995
Operating Expenses Qtr Cr,1412,1839,1680,1466,1424,2094,1786,1680,1303,2050,1771
Operating Profit Qtr Cr,130,171,168,152,162,243,207,202,156,253,208
Operating Profit Margin Qtr %,8.43%,8.51%,9.09%,9.39%,10.21%,10.40%,10.39%,10.73%,10.69%,10.99%,10.51%
Depreciation Qtr Cr,25,26,26,27,26,28,29,29,29,29,28
Interest Qtr Cr,28,30,32,28,34,28,23,23,35,46,42
Profit Before Tax Qtr Cr,139,134,399,73,116,201,328,201,101,185,178
Tax Qtr Cr,26,47,84,36,40,71,71,42,32,78,41
Net Profit Qtr Cr,113,87,315,37,76,130,257,159,69,107,137
Basic EPS Qtr Rs,7.6,5.8,21.2,2.5,5.1,8.7,17.2,10.4,4.5,6.9,8.8
