Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,20779.5,38142,22564,18414.8,13779.5,30428.5,20747.5,16726.8,8848.2,28054.4,20518.8
Operating Expenses Qtr Cr,18665.6,33569.7,19831.1,15658.3,12083.1,26164.2,17756,14560.9,7568.4,24629.8,18422.1
Operating Profit Qtr Cr,1546.1,3869.6,1720.5,1402.7,1025.8,3589.9,1863.8,1230.8,581.6,2623,1463.8
Operating Profit Margin Qtr %,7.65%,10.34%,7.98%,8.22%,7.83%,12.07%,9.50%,7.79%,7.14%,9.62%,7.36%
Depreciation Qtr Cr,342.1,307.9,258.7,261.2,260.3,301,240.4,249.4,234.8,257.1,244.5
Interest Qtr Cr,504.5,440.8,412,424.2,466.9,486.9,567.8,656.4,708.5,563.7,589.8
Profit Before Tax Qtr Cr,1267.3,3823.7,2062.2,2338.3,969.1,3476.4,2183.2,-1558.5,336.7,2603.9,1262.3
Tax Qtr Cr,356.1,922.6,391.4,312.9,219.2,1009.3,478.3,208.6,55,489.6,205.1
Net Profit Qtr Cr,911.2,2901.2,1670.8,2025.4,750,2441.1,1872.8,6716.5,306.6,2254.6,1246.1
Basic EPS Qtr Rs,6.5,20.6,11.9,14.4,5.3,17.6,13.3,47.8,2.2,16.1,8.9
