Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,390.8,476.1,391.2,334.1,314.2,481.6,287,333.2,178.1,283,301.1
Operating Expenses Qtr Cr,227.6,253.9,200.8,230.6,209.6,294.3,191.7,300.6,104,242.3,201
Operating Profit Qtr Cr,148,214,162.6,81.2,83.8,155.9,76,6.6,48.3,6.4,55.2
Operating Profit Margin Qtr %,39.40%,45.73%,44.74%,26.04%,28.56%,34.63%,28.40%,2.15%,31.70%,2.57%,21.56%
Depreciation Qtr Cr,25.7,28,26.4,25,23.7,27.9,25.4,24,21.9,19.1,25.8
Interest Qtr Cr,0,0.7,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,137.5,199.9,164,78.5,80.9,159.4,70,8.6,2.1,21.6,74.3
Tax Qtr Cr,34.7,68.8,40.1,18.3,19.1,43.3,18.6,1.3,0.2,8.1,18.9
Net Profit Qtr Cr,102.8,131.1,123.9,60.2,61.8,116,51.4,7.3,1.9,13.5,55.5
Basic EPS Qtr Rs,4.4,5.9,5.2,2.5,2.6,4.9,2.2,0.3,0.1,0.6,2.1
