Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1095.4,1086.2,846.4,882.4,723.7,855.6,760.2,624.9,193,586.4,660.2
Operating Expenses Qtr Cr,931.8,854.2,741.7,755.3,631.3,733.8,646,551.3,233.9,511.4,585.9
Operating Profit Qtr Cr,154.2,138.3,99.1,123.7,86.7,119.1,110.5,69.7,-45.3,67.2,69.7
Operating Profit Margin Qtr %,14.20%,13.93%,11.79%,14.07%,12.08%,13.96%,14.60%,11.23%,-24.04%,11.61%,10.63%
Depreciation Qtr Cr,32.5,31,29.9,30.9,29.3,29.1,29.8,31.3,19,28.3,30.8
Interest Qtr Cr,2,3.5,3.8,3.1,2.1,3.2,4.6,2.8,2,2.5,4
Profit Before Tax Qtr Cr,129.1,197.6,58.2,93.1,61,89.5,79.8,39.5,-62,44.2,46.3
Tax Qtr Cr,32,28.9,15.1,-4.9,15.7,165.6,19.9,11,-15.2,11.8,-10.2
Net Profit Qtr Cr,97,168.7,43.1,98,45.3,-76.1,59.8,28.5,-46.7,32.4,56.4
Basic EPS Qtr Rs,2.6,4.5,1.1,2.6,1.2,-2,1.6,0.8,-1.2,0.9,1.5
