Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,304.2,304.1,284.5,265.2,216.9,254.7,245.9,211.7,196.5,255.5,267.2
Operating Expenses Qtr Cr,220,206.5,199.6,176.2,143.8,191.2,162.9,137.2,131.3,197,197
Operating Profit Qtr Cr,67.8,52.5,67.7,61.4,52.9,41.7,63.7,48.6,45.7,43.7,55.2
Operating Profit Margin Qtr %,23.57%,20.26%,25.33%,25.85%,26.90%,17.89%,28.12%,26.14%,25.82%,18.14%,21.90%
Depreciation Qtr Cr,32.4,32.9,30.7,28.5,27.8,28,25.1,25.4,25.3,25.8,27.3
Interest Qtr Cr,6.4,5.7,5.6,5.6,4.3,3,3,3.3,3.6,3.7,4.2
Profit Before Tax Qtr Cr,45.4,59,48.7,54.9,40.9,32.5,55,45.8,36.3,29.1,38.7
Tax Qtr Cr,11.8,14.5,12.7,14.3,10.6,7.8,14.3,12,9.5,198.3,13.7
Net Profit Qtr Cr,33.6,44.5,36,40.6,30.3,24.6,40.6,33.8,26.8,-169.2,24.9
Basic EPS Qtr Rs,1.7,2.2,1.8,2,2.3,1.9,3.1,2.5,2,-12.7,1.9
