Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,26588.3,27214.4,23574,21061.6,18278.5,24113.5,24451.5,19347,5424.8,19079.1,21490.8
Operating Expenses Qtr Cr,24587.7,24313.2,21687,19684,16949.6,22032.6,21231.7,16810.9,4969.9,16652.3,18604.7
Operating Profit Qtr Cr,1912.1,2426.8,1559,854.9,821.1,1991.1,2226.1,1933.6,-863.4,1546.4,2102.1
Operating Profit Margin Qtr %,7.22%,9.08%,6.71%,4.16%,4.62%,8.29%,9.49%,10.32%,-21.03%,8.50%,10.15%
Depreciation Qtr Cr,651.4,647.2,640,756.1,743.2,741,741.3,765.9,783.3,823,858
Interest Qtr Cr,27.4,56,25.2,22.5,22.2,32.4,28.7,22.4,17.3,28.3,21.7
Profit Before Tax Qtr Cr,1321.8,2198,1221.8,599,563.5,1307.5,2449.8,1747.8,-345.7,1575.5,2006.4
Tax Qtr Cr,309,359.1,210.5,123.7,122.7,141.4,508.4,376.2,-96.3,283.8,441.6
Net Profit Qtr Cr,1012.8,1838.9,1011.3,475.3,440.8,1166.1,1941.4,1371.6,-249.4,1291.7,1564.8
Basic EPS Qtr Rs,33.5,60.9,33.5,15.7,14.6,38.6,64.3,45.4,-8.3,42.8,51.8
