Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,455.3,409.1,439.9,478.1,527.4,355.9,371.4,313.4,96.6,1057.9,34.4
Operating Expenses Qtr Cr,310.3,291.5,294.1,346.2,376.4,278,283.4,230,78.5,929.1,13.7
Operating Profit Qtr Cr,116.3,89.7,103.6,103.8,123.8,52.8,62.7,51.9,-6.6,155.4,3.5
Operating Profit Margin Qtr %,27.26%,23.52%,26.05%,23.06%,24.74%,15.97%,18.13%,18.42%,-9.18%,14.33%,20.12%
Depreciation Qtr Cr,24.3,24.4,25.1,25.1,24.5,22.2,23.8,39.1,10.3,61.3,0.8
Interest Qtr Cr,10.8,10.6,11,11,11.4,25,29.5,34,23.9,49.2,21.2
Profit Before Tax Qtr Cr,109.9,82.5,109.7,95.8,115,30.6,34.7,10.3,-226.8,18.4,-1.3
Tax Qtr Cr,24.7,16.4,5.8,22.6,27.1,23.4,3.1,-0.2,-9.6,0.1,0
Net Profit Qtr Cr,85.3,66.2,103.8,73.2,87.9,7.2,31.6,10.4,-217.2,19.3,-1.3
Basic EPS Qtr Rs,0.9,0.7,1.1,0.8,0.9,0.1,0.3,0.1,-3,0.4,0
