Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,2366.5,1525.5,1673.4,1665.7,1302.3,1378.5,1578.1,1211.9,481.3,1201
Operating Expenses Qtr Cr,2056.6,1319.1,1350.5,1485,1144,1062.2,1368.8,1027,367.8,1070.5
Operating Profit Qtr Cr,173.7,77.3,202,85.2,70.2,43,92.2,72.6,16.1,-27.3
Operating Profit Margin Qtr %,7.79%,5.54%,13.01%,5.42%,5.79%,3.89%,6.31%,6.60%,4.20%,-2.62%
Depreciation Qtr Cr,18.4,22.9,17.1,17.3,17.2,17.2,17.7,18,6.8,20.2
Interest Qtr Cr,1.5,1.4,1.9,1.9,1.9,2.1,2.1,2.1,2.1,2.2
Profit Before Tax Qtr Cr,290,182,303.9,161.5,125.2,296.6,181.4,138.4,13.5,95.7
Tax Qtr Cr,73,37.1,86.1,30.5,32.5,66.1,32.6,52,-0.4,29.4
Net Profit Qtr Cr,217,144.9,217.8,131,92.8,230.5,148.7,86.4,13.9,66.3
Basic EPS Qtr Rs,10.8,7.2,10.8,6.5,4.6,11.4,7.4,4.3,0.7,3.3
