Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2810.8,2007.5,2082.6,2916.7,2373.3,1777.9,2294.5,2980.2,2604.8,2298.6,1860
Operating Expenses Qtr Cr,1187.5,1082.1,752.6,949.5,890.9,908.2,914.2,981.3,1098.2,1354.2,867.3
Operating Profit Qtr Cr,1406.9,423.6,1179.8,1796,1279.3,433.3,1178,1572.8,1420.7,559.4,927.8
Operating Profit Margin Qtr %,54.23%,28.14%,61.05%,65.42%,58.95%,32.30%,56.30%,61.58%,56.40%,29.23%,51.69%
Depreciation Qtr Cr,287.4,280.3,286.5,280.3,279.1,236.1,334.9,333.2,330.3,385.8,387.3
Interest Qtr Cr,136.7,133.1,130.4,134.1,134.1,215,141.7,146.2,146.7,151.2,155.6
Profit Before Tax Qtr Cr,1227.2,586.4,-514.3,1589.3,1115.1,532.7,945.3,1555.6,879.9,448.1,451.5
Tax Qtr Cr,177.6,26.3,-1274.8,284.5,202.8,128.5,137.2,257.1,157.4,65.2,47.8
Net Profit Qtr Cr,1049.6,560.1,760.6,1304.8,912.3,404.2,808.1,1298.5,722.5,382.9,403.7
Basic EPS Qtr Rs,1,0.6,0.8,1.3,0.9,0.3,0.8,1.3,0.7,0.4,0.4
