Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,401.1,412.5,374.1,333,321.5,343.8,305.7,316.5,240.4,270.3,262.6
Operating Expenses Qtr Cr,286.9,302.6,268.8,240.9,235.9,239.8,214.3,214.2,152.7,197.8,186.4
Operating Profit Qtr Cr,99.9,95.8,98.1,83.5,78,84.2,82.3,93.5,52.1,67.2,65.2
Operating Profit Margin Qtr %,25.83%,24.04%,26.74%,25.75%,24.85%,26.00%,27.75%,30.38%,25.44%,25.36%,25.90%
Depreciation Qtr Cr,11.5,11.2,11.2,11,10.9,10.6,10.1,10,9.9,10.2,8.3
Interest Qtr Cr,0.3,0.6,0.4,0.3,0.4,0.6,0.3,0.3,0.2,0.5,0.4
Profit Before Tax Qtr Cr,102.3,98.2,93.7,80.8,74.3,158.9,81,92,77.6,61.8,67.5
Tax Qtr Cr,23.4,19.4,24.6,18.7,17.9,37.3,22.3,24.6,26,-206.9,22.2
Net Profit Qtr Cr,79,78.8,69.2,62.1,56.4,121.6,58.7,67.3,51.6,268.7,45.3
Basic EPS Qtr Rs,15.9,15.9,14,12.5,11.4,24.6,11.9,13.6,10.4,54.3,9.2
