Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4055.9,4002.1,3766.7,3916.2,3506.2,3640.5,3463.2,3576.2,3088.4,3368.1,3194
Operating Expenses Qtr Cr,3217.1,3056.1,2888,2934.6,2628.7,2680.9,2675.2,2642.6,2292.1,2524.7,2476.3
Operating Profit Qtr Cr,819.5,924.6,865.7,948,848,929.9,777,883.6,747.6,793.3,677.9
Operating Profit Margin Qtr %,20.30%,23.23%,23.15%,24.42%,24.39%,25.75%,22.64%,24.95%,24.51%,23.86%,21.52%
Depreciation Qtr Cr,101.5,104.3,105.8,95.5,95.3,93.6,95.5,91.1,92.4,91.3,79.6
Interest Qtr Cr,37,35.6,43.6,51.9,51.7,54,42,40.5,40.8,41,28.4
Profit Before Tax Qtr Cr,700.4,806.2,507.2,834.2,730.5,811.9,670.2,786.5,652.3,703.9,614.6
Tax Qtr Cr,185,211.5,120.5,216.9,191.9,209.6,186.9,199.4,165.7,178.4,141.6
Net Profit Qtr Cr,515.3,594.7,386.7,617.4,538.6,602.2,483.3,587.1,486.6,525.4,473
Basic EPS Qtr Rs,53.5,61.7,40.1,64,55.9,62.5,50.1,60.9,50.5,54.5,49.1
