Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,41.6,50.1,52.7,40.8,32.4,42.1,35.7,29.7,20,26.9,35.3
Operating Expenses Qtr Cr,48.3,45.8,41.8,41,33.6,47.1,39,31.1,34,43.5,43.7
Operating Profit Qtr Cr,-7.6,2.1,10,-1.2,-5.7,-9.8,-4,-2.4,-16.4,-17.8,-11.3
Operating Profit Margin Qtr %,-18.77%,4.39%,19.27%,-3.12%,-20.27%,-26.13%,-11.54%,-8.36%,-92.96%,-69.31%,-34.89%
Depreciation Qtr Cr,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.7,1.7
Interest Qtr Cr,27.6,25.3,24.6,24.5,24.2,22.6,23,26.1,30.8,30.1,30.4
Profit Before Tax Qtr Cr,-35.4,-22.1,-15,-26.1,-26.9,-29.2,-27.8,-29.2,-46.5,-48.3,-40.5
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0.5,0
Net Profit Qtr Cr,-35.4,-22.1,-15,-26.1,-26.9,-29.2,-27.8,-29.2,-46.5,-48.8,-40.5
Basic EPS Qtr Rs,-0.3,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.4
