Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1125.9,1074.1,959.4,875.1,799.3,719.6,675.2,616.9,585.5,598.5,585.9
Operating Expenses Qtr Cr,864.3,787.5,711.8,645.8,560.2,512.9,499.3,442.6,413.9,417.4,450.1
Operating Profit Qtr Cr,237.8,247.5,216.9,201.2,204.6,171.8,143.3,153.6,142.2,148.7,94.8
Operating Profit Margin Qtr %,21.57%,23.91%,23.35%,23.76%,26.76%,25.09%,22.30%,25.76%,25.57%,26.27%,17.40%
Depreciation Qtr Cr,28.5,25.8,21.9,19.8,16.3,15.6,14,13.9,13.2,13.6,14
Interest Qtr Cr,2,1.7,1.6,1.7,1.9,1.1,0.8,1,0.9,1,1.1
Profit Before Tax Qtr Cr,231.1,259,224.2,207.9,221,190.1,160.9,159.4,157.5,166.4,120.7
Tax Qtr Cr,56.2,64.5,51.3,55.5,54.9,50,35,41.8,36.1,38.9,30.7
Net Profit Qtr Cr,174.9,194.5,172.9,152.4,166.1,140.1,125.9,117.6,121.5,127.5,90
Basic EPS Qtr Rs,22.9,25.4,22.6,19.9,21.7,18.3,16.5,15.4,15.9,16.7,11.8
