Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,610.9,566.8,694.2,651.3,761.4,572,608.1,607.6,532.1,547.2,596.4
Operating Expenses Qtr Cr,401.1,384.2,480.7,446.9,463.4,409,396.7,392.1,328.6,393.3,404.7
Operating Profit Qtr Cr,191.8,165.4,195.2,189.4,285.7,125.7,196.8,203.3,186.3,108.7,133.4
Operating Profit Margin Qtr %,32.36%,30.10%,28.88%,29.76%,38.14%,23.51%,33.15%,34.15%,36.18%,21.65%,24.79%
Depreciation Qtr Cr,26.5,33.6,27.2,27.2,27,27.3,27.2,27.7,27.1,28.4,24.7
Interest Qtr Cr,3.6,3.9,2.2,2.2,2.2,3.5,3.9,4.7,3,3.6,2.5
Profit Before Tax Qtr Cr,43.4,145.1,184.1,175,268.7,132.1,180.3,183,173.3,121.9,164.5
Tax Qtr Cr,10.8,19.3,40.2,32,68.8,31.5,39,51.7,48.9,18.9,25.4
Net Profit Qtr Cr,32.5,125.8,143.9,142.9,199.9,100.5,141.2,131.4,124.5,103,139.1
Basic EPS Qtr Rs,7.1,27.5,31.5,31.2,43.7,22,30.9,28.7,27.2,22.5,30.4
