Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,21294,21095.2,22026,21262.3,22515,22531.7,23298.5,23438.6,24292.8,16388.3,15967.5
Operating Expenses Qtr Cr,4700.6,4489.4,5427.5,5613.6,4722,5045.4,4896,5211,5156.3,3274.6,2996.9
Operating Profit Qtr Cr,2842.2,2814.7,2375.7,739.2,2504.6,1892.1,3416.9,3182.2,1592.2,1402.9,1358.1
Operating Profit Margin Qtr %,15.15%,15.10%,12.29%,4.11%,13.24%,10.07%,16.81%,15.19%,7.73%,10.12%,10.01%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,11214.2,11341,11522.2,11627.6,11694.3,11852,12011.7,12552.6,13856.5,9181.4,9207.6
Profit Before Tax Qtr Cr,589,413.3,1722.8,759.8,1420.6,948.3,958.2,978.8,594.2,-969,-383.1
Tax Qtr Cr,280.6,211.7,596,-345.4,397.1,361.9,452.2,357.9,285.7,-271.8,109.1
Net Profit Qtr Cr,308.4,201.6,1126.8,1105.2,1023.5,586.3,506,620.8,308.4,-697.2,-492.3
Basic EPS Qtr Rs,0.3,0.2,1,1,0.9,0.6,0.5,0.7,0.3,-1,-0.8
