Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,866.8,515,633.6,735.3,747.5,479.3,578.1,738.1,674.5,355.8,543
Operating Expenses Qtr Cr,750.1,510.4,560.7,639.8,618.9,453.4,510.4,608.2,534.4,356.2,478.3
Operating Profit Qtr Cr,112.7,-2.8,67.4,88,121.6,17.8,60.1,116.8,128.3,-9.9,54.9
Operating Profit Margin Qtr %,13.06%,-0.56%,10.73%,12.09%,16.42%,3.78%,10.54%,16.10%,19.36%,-2.87%,10.29%
Depreciation Qtr Cr,24.7,19.7,18.4,17.7,18.5,14.8,11,20.3,17.9,12.7,15.9
Interest Qtr Cr,1.7,1.2,1.4,1.2,0.9,1.1,0.8,1.4,2,1.1,1.6
Profit Before Tax Qtr Cr,91,-16.2,53.1,76.5,109.2,11.7,62,109.8,120.2,-2.8,47.2
Tax Qtr Cr,23.5,-2.1,13.5,20.1,26.8,3.4,16.4,26.8,28.3,-3.3,9.9
Net Profit Qtr Cr,67.5,-14.1,39.5,56.4,82.4,8.2,45.6,83,91.9,0.6,37.2
Basic EPS Qtr Rs,3.5,-0.7,2,2.9,4.2,0.4,2.4,4.3,4.7,0,1.9
