Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1.2,47.9,0.5,0.5,1.2,0.8,0.6,0.2,0.2,0.2,0.6
Operating Expenses Qtr Cr,209.3,1.9,1.3,0.8,0.9,1,0.5,0.1,0.1,0.1,0.2
Operating Profit Qtr Cr,-208.3,-1.3,-0.8,-0.3,0.1,-0.9,-0.5,-0.1,-0.1,-0.1,-0.2
Operating Profit Margin Qtr %,-19498.61%,-209.13%,-169.28%,-66.66%,10.44%,-930.30%,,,,,
Depreciation Qtr Cr,0.5,0.5,0.1,0,0,0,0,0,0,0,0
Interest Qtr Cr,3.5,1.5,0,0,0,0,0,0,0,-0.9,1.2
Profit Before Tax Qtr Cr,-212.2,44,-0.9,-0.3,0.3,-0.3,0.1,0.1,0.1,1,-0.7
Tax Qtr Cr,0,0.2,-0.1,0,0.1,-0,0,0,0,0,0
Net Profit Qtr Cr,-212.2,43.8,-0.9,-0.3,0.3,-0.2,0.1,0.1,0.1,1,-0.7
Basic EPS Qtr Rs,-1.5,0.3,0,0,0,0,0,0,0,0,0
