Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,160.8,109.8,112.9,88.4,63,93.8,95.5,95.7,103,120.8,95
Operating Expenses Qtr Cr,127.1,97.7,86.9,77.8,56.5,81.5,84.9,88.7,90.9,102,89
Operating Profit Qtr Cr,5.7,2,3.2,7.8,1.8,9.4,6.3,4.6,10,6.2,5
Operating Profit Margin Qtr %,4.26%,2.01%,3.60%,9.13%,3.15%,10.39%,6.94%,4.95%,9.88%,5.74%,5.27%
Depreciation Qtr Cr,3.8,3.9,3.8,4.2,2.9,3,2.9,2.7,1.8,1.9,1.6
Interest Qtr Cr,0.6,0.6,0.5,0.5,0.3,0.1,0.3,0.7,0.7,0.8,0.9
Profit Before Tax Qtr Cr,29.3,2.7,21.7,5.8,3.2,9.2,7.3,3.6,9.6,16,-9.7
Tax Qtr Cr,3,2.5,0.8,1.5,0.8,2.2,1.9,0.9,2.5,3.3,-2.6
Net Profit Qtr Cr,26.2,0.1,20.9,4.3,2.4,7,5.4,2.7,7.2,12.7,-7.1
Basic EPS Qtr Rs,4.2,0.1,3.5,0.8,0.4,1.2,1,0.5,1.4,2.5,-1.4
