Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4817.3,21666.2,20681.6,25646.3,16021.6,21125.6,26728,306.7,378.7,911.5,446.3
Operating Expenses Qtr Cr,4378.8,21048.9,20202.8,25265.4,15598.4,21365.4,26239.3,8.4,9.5,497.2,8.4
Operating Profit Qtr Cr,428.5,-462.3,468.4,394.7,405.2,-1044.4,517,298,386.1,519.5,393.4
Operating Profit Margin Qtr %,8.92%,-2.24%,2.27%,1.54%,2.53%,-5.15%,1.94%,97.66%,102.39%,57.12%,88.44%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,439.6,532.3,478,405.2,422.7,-207.9,527.1,299.6,387.7,521.6,394.9
Tax Qtr Cr,4.6,53,45.7,35.9,46.4,-30.5,63.2,-0.2,-3.2,-9.1,5.1
Net Profit Qtr Cr,262.9,672.1,364.1,246.6,223.2,532.4,232.8,299.7,390.9,530.7,389.8
Basic EPS Qtr Rs,2.6,6.7,3.6,2.5,2.2,5.3,2.3,3,3.9,5.3,3.9
