Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2478.4,2124.5,2677.3,1538.7,1265.9,2194.7,1906.7,1305.3,709.8,3057.3,3917.3
Operating Expenses Qtr Cr,2857.5,2160.9,2146.2,1645.1,1509.7,1956.5,1441.7,850.8,705.7,3266.7,3240.7
Operating Profit Qtr Cr,-400.8,-295.1,116.4,-302.5,-420,-79.4,244.9,204.1,-191,-402.8,406.4
Operating Profit Margin Qtr %,-16.31%,-15.82%,5.15%,-22.53%,-38.54%,-4.23%,14.52%,19.35%,-37.11%,-14.07%,11.14%
Depreciation Qtr Cr,280.2,277.6,323.5,341.6,347.9,313.8,380.3,415.6,448.2,455.7,464.7
Interest Qtr Cr,129.5,144,87.7,113.7,137.3,159.7,141.6,151.4,149.3,142,138.7
Profit Before Tax Qtr Cr,-788.8,-458,42.5,-561.7,-729.1,-235.3,-57,-112.6,-593.4,-807.1,73.2
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,-788.8,-458,42.5,-561.7,-729.1,-235.3,-57,-112.6,-593.4,-807.1,73.2
Basic EPS Qtr Rs,-13.1,-7.6,0.7,-9.3,-12.1,-3.9,-0.9,-1.9,-9.9,-13.4,1.2
