Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,24334,31210.2,25494.9,27057.5,20752.8,23606.1,20049.2,17121.2,9345.2,16628.8,16727.9
Operating Expenses Qtr Cr,21727.8,26426.8,21835.5,19810,14078.8,17133.1,14755.5,15023.1,9470.3,9712,15543.7
Operating Profit Qtr Cr,2300.8,4331.3,3410.4,7016.9,6563.6,6152.9,5077.5,1900.5,-402.8,6459.8,997.6
Operating Profit Margin Qtr %,9.58%,14.08%,13.51%,26.16%,31.80%,26.42%,25.60%,11.23%,-4.44%,39.94%,6.03%
Depreciation Qtr Cr,1193.9,1143.8,1048.7,1055.6,1026.1,1157.7,981.2,989.8,973.3,1055.2,926.2
Interest Qtr Cr,374,440.1,315.8,439,503,540.4,670.1,720.4,886.3,908.6,849.4
Profit Before Tax Qtr Cr,1038.3,3210,1931,5752.9,5144.9,4608.5,3644.9,610.3,-1984.7,4181.2,-591.4
Tax Qtr Cr,262,791.7,487.9,1449.3,1294.9,1164.7,2361.7,217,-714.4,1456,-161.8
Net Profit Qtr Cr,776.3,2418.3,1443.1,4303.6,3850,3443.8,1283.2,393.3,-1270.3,2725.2,-429.6
Basic EPS Qtr Rs,1.9,5.8,3.5,10.4,9.3,8.3,3.1,0.9,-3.1,6.6,-1
