Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,941.8,948.4,961.3,1025.2,955.6,1017.8,1046.5,997.9,952.1,953.5,982.2
Operating Expenses Qtr Cr,169.4,167.8,161.2,398.3,143.2,145.5,131.6,131.3,132.5,136.7,137.3
Operating Profit Qtr Cr,712.7,800.3,700.7,458.3,721.8,716.3,843.6,781.6,755.2,689.5,767.2
Operating Profit Margin Qtr %,76.22%,85.17%,73.11%,44.85%,75.97%,74.05%,80.73%,78.71%,79.63%,73.20%,78.59%
Depreciation Qtr Cr,18.6,20.2,18.9,17.9,15.6,18.7,17.9,17.2,16.4,19.9,18.7
Interest Qtr Cr,404.1,410.9,417.3,165.3,458.5,484.7,507.1,515.4,523.5,515.6,533.4
Profit Before Tax Qtr Cr,296.8,377.9,267.4,278.5,253.1,263.3,320.2,253.8,219,165.6,221
Tax Qtr Cr,71,79.1,65,67.8,61.5,54.1,78,61.8,53.3,34.7,54.5
Net Profit Qtr Cr,225.7,298.8,202.4,210.7,191.6,209.2,242.2,192,165.7,130.9,166.5
Basic EPS Qtr Rs,20.3,26.9,18.2,19,17.2,18.8,21.8,17.3,14.9,11.8,15
