Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1246.2,1157.3,1028.2,1064.3,948.4,1081.6,945.4,773.4,284.4,723.2,701.2
Operating Expenses Qtr Cr,1031.4,979,848.2,863.3,755.5,869.1,739.6,605.8,271.4,601.8,576.7
Operating Profit Qtr Cr,208.3,167.4,176.1,199.7,183.3,210.1,202.6,161,5.3,117.8,116.1
Operating Profit Margin Qtr %,16.80%,14.61%,17.19%,18.79%,19.53%,19.47%,21.51%,21.00%,1.93%,16.36%,16.76%
Depreciation Qtr Cr,38.8,38.9,38.3,38,37.6,36.2,37.1,36.8,36.5,35.8,34.2
Interest Qtr Cr,5,3.9,3.2,2.1,4.2,3.4,2.8,0.1,7.9,11.1,9.2
Profit Before Tax Qtr Cr,171.1,105.5,138.5,160.9,151.1,172.9,166,130.7,-31.4,63.2,81.1
Tax Qtr Cr,41,34.1,35.1,40.7,38.6,42.8,41.8,33.3,-7.9,16.4,-21.9
Net Profit Qtr Cr,130.1,71.4,103.3,120.2,112.5,130,124.2,97.4,-23.5,46.8,103.1
Basic EPS Qtr Rs,6.2,3.4,4.9,5.7,5.4,6.2,5.9,4.6,-1.1,2.2,4.9
