Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,349.9,361.4,357,364.4,218.1,361.4,377.4,319,90.6,264,296.8
Operating Expenses Qtr Cr,285.1,300.9,298.1,282.4,177.2,288.5,294.2,253.7,95.2,211.3,242.5
Operating Profit Qtr Cr,51.5,55.3,53.1,72.3,31.9,58.3,72.1,58,-7.8,46.3,47.9
Operating Profit Margin Qtr %,15.29%,15.53%,15.12%,20.39%,15.27%,16.80%,19.68%,18.61%,-8.87%,17.97%,16.50%
Depreciation Qtr Cr,7,7.2,6.5,6.6,6.2,6.2,6.2,6.2,5.5,6.5,6.6
Interest Qtr Cr,3.2,2.3,2,2.2,3.2,1.1,3.5,3.5,3.4,3.5,2.9
Profit Before Tax Qtr Cr,54.5,51,50.5,31.9,31.6,65.6,73.5,55.6,-13.5,16.7,44.9
Tax Qtr Cr,13.8,12.6,12.6,20.3,7,16.8,18.1,12.4,-4,4.9,5.2
Net Profit Qtr Cr,40.7,38.4,37.8,11.6,24.6,48.8,55.4,43.2,-9.5,11.8,39.6
Basic EPS Qtr Rs,2.9,2.8,2.7,0.8,1.8,3.5,4,3.1,-0.7,0.8,2.8
