Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1386,1217.1,960.8,891.8,929.1,893.2,838.1,820.2,666.5,781.5,794.3
Operating Expenses Qtr Cr,827,838,687.1,655.4,589.1,677,637.6,601.1,472.3,593.7,564.9
Operating Profit Qtr Cr,398,276.6,244.4,191.6,238.8,164.2,174.6,116.3,155.7,140.3,194.5
Operating Profit Margin Qtr %,32.49%,24.82%,26.24%,22.62%,28.84%,19.52%,21.50%,16.22%,24.79%,19.12%,25.61%
Depreciation Qtr Cr,60,58.2,55.8,55,53.5,52.3,48.6,48.8,47.6,41.6,36.4
Interest Qtr Cr,4,5.8,4.3,4.7,4.5,5.7,4.2,4.5,4.4,3.9,5.1
Profit Before Tax Qtr Cr,495,315.2,213.6,176.7,282.1,158.2,147.7,165.8,142.3,142.4,187.9
Tax Qtr Cr,114,47,57.9,42.1,54,38.6,32,30.7,33.5,24.5,50.9
Net Profit Qtr Cr,381,262.8,155.7,155,228.1,119.6,115.6,135.1,108.8,6354.6,116.2
Basic EPS Qtr Rs,15,10.3,6.1,6.1,8.9,4.7,4.5,5.3,4.3,249.4,4.5
