Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5550.5,5016.2,2202.1,2364.9,2244.9,1786.9,2357.5,1782.7,1502.5,1850.6,1933.5
Operating Expenses Qtr Cr,4720.8,2867.9,1602.8,1341.1,1278.2,1206.6,1157.7,1090.1,909.2,1152.3,1192.9
Operating Profit Qtr Cr,108.1,252.1,544.4,497.6,540.2,353.7,499.9,460.2,503.2,612.1,739.4
Operating Profit Margin Qtr %,2.24%,8.08%,25.35%,27.06%,29.71%,22.67%,30.16%,29.68%,35.63%,34.69%,38.26%
Depreciation Qtr Cr,290.6,287.3,147.3,149.8,146.7,170,168.3,167.4,163.2,172.2,188.4
Interest Qtr Cr,562.9,527.8,365.2,356.1,388.5,374.2,366.4,387.2,391,359.6,378.4
Profit Before Tax Qtr Cr,417.4,1320.7,98.5,2095.2,401.5,178.6,552.8,242,95.2,-157.2,-2.9
Tax Qtr Cr,-4,-967.6,49.8,220.1,203.4,-67.7,63.4,77.8,27.5,-219,-23.6
Net Profit Qtr Cr,421.4,2288.3,48.7,1875.1,198,157,574.5,145,44.9,-309.9,6.9
Basic EPS Qtr Rs,1.3,7.2,0.1,5.9,0.5,0.4,1.7,0.4,0,-1.3,0.1
