Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,32756.7,37187.1,32244.2,32964.4,21062.5,21392.3,18106.4,16548.2,9459.9,14282.8,15313.5
Operating Expenses Qtr Cr,22453.1,24446.7,19796.2,19152.2,10593.3,12014.8,11263.8,11737.3,8087.7,10562.8,11484.2
Operating Profit Qtr Cr,9568,12234.2,12168,13430,10205,9187.8,6701.9,4624.7,1251,3648.7,3777.8
Operating Profit Margin Qtr %,29.88%,33.35%,38.07%,41.22%,49.07%,43.33%,37.30%,28.26%,13.40%,25.67%,24.75%
Depreciation Qtr Cr,1344,1379.8,1360.2,1352,974.9,1041,971.1,1006,969.3,1002.3,979.9
Interest Qtr Cr,722.4,645.6,644.1,729.8,668.5,829.7,800,855.7,908.3,804,783.9
Profit Before Tax Qtr Cr,8182.5,10638.6,10262.7,11599.7,8978.5,8456.1,4845.5,2940,1553.5,-95.7,2414.7
Tax Qtr Cr,2068.4,2799.1,2579.3,2891.4,2198.4,1862.6,1230.6,735.1,360.2,341.1,610.9
Net Profit Qtr Cr,6114.2,7839.5,7683.4,8708.3,6780,6593.5,3614.9,2204.9,1193.3,-436.8,1803.8
Basic EPS Qtr Rs,50,64.1,62.9,71.3,56.5,57,31.1,18.8,10,-4.2,15.3
