Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,251.4,232.2,224.3,193.8,187.7,179.4,179.3,188.6,169.3,156.4,210
Operating Expenses Qtr Cr,203.6,190.3,176.6,150.9,148.4,151.7,140.6,136.5,128.3,137.9,162.7
Operating Profit Qtr Cr,40.9,35.6,40.2,35.5,33.8,23,33.1,47.2,36.4,14.5,37.6
Operating Profit Margin Qtr %,16.73%,15.77%,18.54%,19.04%,18.56%,13.16%,19.08%,25.70%,22.08%,9.52%,18.79%
Depreciation Qtr Cr,4.7,5.1,5,5,5,4.9,5,5.2,5.1,4.9,5
Interest Qtr Cr,0.2,0.4,0,0.1,0.2,0.3,0.3,0.2,0.3,0.8,0.7
Profit Before Tax Qtr Cr,42.8,36.4,42.6,226.6,34.1,22.4,33.5,46.7,35.6,12.7,41.6
Tax Qtr Cr,10.9,9.6,11.3,60.6,8.8,5.8,8.6,7.2,9.3,2.9,10
Net Profit Qtr Cr,31.9,26.8,31.3,166.1,25.3,16.5,24.9,39.4,26.4,9.8,31.6
Basic EPS Qtr Rs,1,0.8,1,5.1,0.8,0.5,0.8,0.7,0.8,0.3,1
