Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1533,1455,1354.5,1341.3,888.8,1310.3,1086.7,904.7,231.9,773.7,467.6
Operating Expenses Qtr Cr,1378.3,1290.2,1217.4,1192.8,827.6,1160.7,952,761.8,270.9,701,408.2
Operating Profit Qtr Cr,140.3,150.6,116.3,107,57.9,145.4,130,109.1,-42.8,52.9,50.3
Operating Profit Margin Qtr %,9.24%,10.45%,8.72%,8.23%,6.54%,11.13%,12.02%,12.53%,-18.75%,7.01%,10.97%
Depreciation Qtr Cr,47.5,55.7,44.4,47.3,43.1,51.8,43.6,37.3,31.7,36.9,21.9
Interest Qtr Cr,9,6.2,5.8,10.3,11.7,7,10.2,9.2,10.8,10.8,8.8
Profit Before Tax Qtr Cr,98.2,78,86.9,91,6.4,80.8,80.9,96.3,-81.5,7.8,23.5
Tax Qtr Cr,14.2,20.5,21.2,22.9,1.7,24.5,19.5,32,-28.4,2.6,5.4
Net Profit Qtr Cr,84,57.5,65.8,68.1,4.7,56.3,61.4,64.3,-53.1,5.2,18.1
Basic EPS Qtr Rs,1.5,2,2.4,2.4,0.2,2.1,2.3,2.4,-2,0.2,0.7
