Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,240.1,262.5,249.1,273.1,279.9,247.7,266.3,236.4,217.8,184.7,226.9
Operating Expenses Qtr Cr,119.6,136.4,116.8,120.1,121.1,106,134.9,109.2,118.4,127.6,100.6
Operating Profit Qtr Cr,119.8,126,132.2,152.4,154.6,138.2,125.5,116.7,91.7,51.9,118.8
Operating Profit Margin Qtr %,50.03%,48.02%,53.08%,55.93%,56.08%,56.59%,48.19%,51.66%,43.65%,28.85%,54.15%
Depreciation Qtr Cr,9.1,9,8.8,8.5,8.5,8.5,9,8.7,7.6,9.8,8
Interest Qtr Cr,2.3,2.2,2.5,2.1,2.3,2.3,2.3,2.3,1.1,3.7,1.9
Profit Before Tax Qtr Cr,109.1,114.9,121,142.4,148,130.8,120.2,116.2,90.7,43.2,116.5
Tax Qtr Cr,7.2,40.4,17.2,22,29,17.4,39.4,27.8,21.6,12.6,29.4
Net Profit Qtr Cr,102,74.6,103.8,120.4,119,113.5,80.7,88.4,69.1,30.6,87.1
Basic EPS Qtr Rs,8,5.9,8.2,9.5,9.4,8.9,6.4,7,5.5,2.4,6.9
