Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2447,1719.8,3516,1430.7,1124.1,1555,1294.4,933.2,508.3,1424.8,1456.7
Operating Expenses Qtr Cr,2171.6,1446.5,3336.3,1260.6,1022.6,1282.2,1116.3,860.2,602.5,1291.9,1232.5
Operating Profit Qtr Cr,265.1,260.3,173.6,165.6,95.4,261.3,173.4,40.4,-95.7,132.2,220.8
Operating Profit Margin Qtr %,10.88%,15.25%,4.95%,11.61%,8.53%,16.93%,13.45%,4.49%,-18.87%,9.29%,15.19%
Depreciation Qtr Cr,57.5,53.2,52.9,55.6,55.1,62.3,57.8,61.2,50.5,73.4,73.5
Interest Qtr Cr,0.8,2.5,3.7,4.7,3.9,4.2,5.3,6,7.2,4.8,9.9
Profit Before Tax Qtr Cr,217.1,217.6,123,109.8,42.5,144.1,169.9,5.8,-151.9,54.7,140.8
Tax Qtr Cr,55.4,54.7,32.4,29.1,11.7,47.4,43.5,1.8,-37.6,13.5,34.4
Net Profit Qtr Cr,161.7,163,90.6,80.7,30.8,96.8,126.4,4,-114.3,41.2,106.4
Basic EPS Qtr Rs,6.1,6.2,3.4,3,1.2,3.7,4.8,0.1,-4.3,1.6,4
