Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,218.3,189.7,186.8,186.1,132.1,96.7,72.6,65.1,61.2,207.8,203.2
Operating Expenses Qtr Cr,208.3,149.4,147.2,150.8,102.2,71.2,51,46.8,44.4,180.3,175.8
Operating Profit Qtr Cr,8.3,39.2,39.4,35.3,28.8,8.3,4.1,1.5,0.1,11.3,8.2
Operating Profit Margin Qtr %,3.81%,20.78%,21.13%,18.95%,22.01%,10.47%,7.51%,3.07%,0.16%,5.88%,4.45%
Depreciation Qtr Cr,3.9,4,4,3.9,3.5,2.1,4.1,4.7,3.9,3.8,3.8
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,6,36,34.2,31.4,26.3,23.4,17.5,13.5,12.9,26.4,25.8
Tax Qtr Cr,1.8,7.2,7.6,7.6,6.2,5.7,3.3,3.3,3.7,-1.9,6.2
Net Profit Qtr Cr,4.3,28.8,26.6,23.8,20.2,17.7,14.2,10.2,9.2,28.3,19.7
Basic EPS Qtr Rs,0,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.2
