Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,525,501.2,383.6,387.7,404,286.3,232.8,220.8,240.2,261.6,253.9
Operating Expenses Qtr Cr,375.4,347.3,276.2,273.1,284.9,180.6,151.4,135.3,134.4,143.7,155.5
Operating Profit Qtr Cr,130.9,138.8,92.8,101,101.5,99.1,72.1,84.1,97.2,101.7,83
Operating Profit Margin Qtr %,25.85%,28.55%,25.14%,27.00%,26.27%,35.43%,32.26%,38.33%,41.97%,41.44%,34.80%
Depreciation Qtr Cr,12.8,11.7,11.5,11.3,11,10.7,10.8,10.8,10.6,9.7,9.3
Interest Qtr Cr,0.5,0.2,0,0,0,0.1,0,0,0,0.3,0.3
Profit Before Tax Qtr Cr,136.3,142,95.9,103.3,108.1,94.9,70.6,74.7,95.1,107.9,88.9
Tax Qtr Cr,35.1,40.9,12.6,22,27.2,24,6.5,12.7,22.8,33.3,22
Net Profit Qtr Cr,101.2,101.1,83.3,81.4,80.9,70.9,64.1,62,72.3,74.6,66.8
Basic EPS Qtr Rs,9.8,9.8,8.1,7.9,7.9,6.9,6.2,6,7,7.3,13
