Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2618.8,2559.9,1661.8,1534.6,1510.3,2267,1655.3,1410.3,1330.2,2148.9,1460.5
Operating Expenses Qtr Cr,2411.4,2259.3,1490.1,1380,1326.3,1962.7,1474.5,1264,1194.5,1903.8,1337.5
Operating Profit Qtr Cr,180.1,262.3,140.6,104.6,135.5,271.3,105.2,105.3,65.3,178.9,69.9
Operating Profit Margin Qtr %,6.95%,10.40%,8.62%,7.04%,9.27%,12.14%,6.66%,7.69%,5.18%,8.59%,4.97%
Depreciation Qtr Cr,7.8,8.5,8.7,8.5,7.5,7.5,7.5,7.5,6.8,7,6.9
Interest Qtr Cr,1.4,9.1,1.2,2.8,1.4,8.5,1.6,4.3,4.6,3.8,2.4
Profit Before Tax Qtr Cr,198.1,282.9,161.8,143.3,175.2,288.4,171.6,134.4,124.2,228.7,113.6
Tax Qtr Cr,51.5,66.4,39.1,34.3,39.8,73.8,32.2,31.9,21.4,52.1,25.2
Net Profit Qtr Cr,146.6,216.5,122.6,109,135.3,214.6,139.4,102.5,102.9,176.6,88.4
Basic EPS Qtr Rs,4.4,6.5,3.7,3.3,4.1,6.5,4.2,3.1,3.1,5.3,2.7
