Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1463.2,2166.2,1270.6,981.6,753.3,1332.1,1375.3,1124.7,1674.3,1480.6,1472
Operating Expenses Qtr Cr,1314.4,1749.8,1105.8,873,641.1,1111.3,1142.6,882.7,936,1301.1,1281.9
Operating Profit Qtr Cr,70.5,81.8,106.5,55.5,78.2,126.8,167.6,172,103,129.8,171.1
Operating Profit Margin Qtr %,5.09%,4.47%,8.78%,5.97%,10.88%,10.24%,12.79%,16.31%,9.92%,9.07%,11.78%
Depreciation Qtr Cr,26.5,29.3,25.9,25.2,25.7,26.1,24.7,22.8,23.8,30.2,31.7
Interest Qtr Cr,25.9,21.5,20.2,15.8,13.6,8.6,7.3,10.5,23.1,26.9,28
Profit Before Tax Qtr Cr,96.3,365.7,118.7,67.7,73,186.1,200.7,208.7,691.4,122.4,130.5
Tax Qtr Cr,15.8,50.5,30.2,17.6,18.4,10.2,64.5,70.6,132.3,66.5,50.9
Net Profit Qtr Cr,80.5,315.2,88.5,50.1,54.5,173.8,140.1,135.1,553.1,53.8,69
Basic EPS Qtr Rs,3.1,12.1,3.4,1.9,2.1,6.7,5.4,5.2,21.2,2.1,2.6
