Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5916.3,5829.2,5632,5430.3,5581.8,4805.3,6518.4,5952.1,6106.7,5818.6,6268.5
Operating Expenses Qtr Cr,2041.9,1926.9,1767,1612.1,1538.3,1617.8,1472.1,1320.1,1382,1764.5,1696.9
Operating Profit Qtr Cr,-191.6,-107.5,-3,-99.9,-136.2,-631.2,1088.3,653.3,526.2,-490.8,-632.1
Operating Profit Margin Qtr %,-3.73%,-2.17%,-0.06%,-2.15%,-3.01%,-15.82%,20.45%,12.45%,9.59%,-9.40%,-11.20%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,3284.6,3128.1,3134.3,3140,3123.3,3002.6,2760.7,3272,3577.9,3947.6,4578.1
Profit Before Tax Qtr Cr,415.1,503.2,356,300.8,275.8,-5054.7,86.7,172.7,60.2,-4765.9,-24772.2
Tax Qtr Cr,104.5,135.7,89.6,75.3,69,-1267,-64,43.3,14.8,-1097.6,-6211.8
Net Profit Qtr Cr,310.6,367.5,266.4,225.5,206.8,-3787.8,150.7,129.4,45.4,2628.6,-18560.3
Basic EPS Qtr Rs,0.1,0.1,0.1,0.1,0.1,-1.5,0.1,0.1,0,-8.3,-72.8
