Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,452.3,516.6,436.2,419.7,390.1,383.2,361.8,342.3,348.4,381.5,345.4
Operating Expenses Qtr Cr,347.3,330.1,315.7,302.2,264.4,257.2,232.4,231.8,229.9,256.8,251.4
Operating Profit Qtr Cr,88.1,115,96.1,99.6,105.8,90.7,116.4,105,98.5,96.2,77.7
Operating Profit Margin Qtr %,20.23%,25.84%,23.34%,24.79%,28.58%,26.06%,33.37%,31.18%,29.99%,27.24%,23.61%
Depreciation Qtr Cr,23.9,22.5,21.9,21.9,21.9,23.1,21.5,21.8,23.1,21.8,21.6
Interest Qtr Cr,4.8,15,4.6,6.9,5.2,5.1,5.3,5.2,6.1,8,6.6
Profit Before Tax Qtr Cr,76.3,149,94,88.7,98.6,97.8,102.6,83.5,89.2,94.9,65.9
Tax Qtr Cr,21.4,43.4,23.4,20.2,22.6,16.8,22.9,20,23.9,24.4,17.3
Net Profit Qtr Cr,54.9,105.6,70.6,68.5,76,81,79.7,63.5,65.3,70.6,48.6
Basic EPS Qtr Rs,2.4,4.7,3.1,3,3.4,3.6,3.5,2.8,2.9,3.1,2.2
