Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,450.5,435.6,409.3,375.3,353.3,337.1,319.5,294.3,285.9,298.1,300.7
Operating Expenses Qtr Cr,337,289.8,267,244.2,227.6,214.1,225.2,204.7,200,219.1,213.4
Operating Profit Qtr Cr,97.7,138.3,138.6,129.7,116.2,115.4,84,82.4,71.6,59.1,75
Operating Profit Margin Qtr %,22.47%,32.30%,34.17%,34.70%,33.80%,35.03%,27.16%,28.70%,26.37%,21.25%,25.99%
Depreciation Qtr Cr,12.6,14.5,13.6,12.4,11.2,13.1,13.1,13,10.8,11.4,11
Interest Qtr Cr,3.9,4,4,4.2,4.2,4.4,4.6,4.7,4.7,4.7,4.5
Profit Before Tax Qtr Cr,96.9,127.3,124.7,114.5,110.4,105.6,76.7,71.8,70.4,58.6,71.8
Tax Qtr Cr,24.8,31.9,33,28.9,28.2,27.2,19.5,18.5,20.3,14.8,17.7
Net Profit Qtr Cr,72,95.5,91.7,85.6,82.2,78.4,57.1,53.4,50.1,43.7,54
Basic EPS Qtr Rs,21.8,28.8,27.3,25.1,23.6,22.5,16.4,15.1,13.5,11.8,14.6
